	beaobachtungsnummer	tag	stall	mischung	anzahl_sauber	anzahl_schmutzig	kommentar	messende person
0	0	04.12.2023	1	dinkel	7	1	alles nur ein traum	generiert
1	1	04.12.2023	1	stroh	7	1	alles nur ein traum	generiert
2	2	04.12.2023	1	sand	6	2	alles nur ein traum	generiert
3	3	04.12.2023	2	dinkel	10	3	alles nur ein traum	generiert
4	4	04.12.2023	2	stroh	11	2	alles nur ein traum	generiert
5	5	04.12.2023	2	sand	10	3	alles nur ein traum	generiert
6	6	05.12.2023	1	dinkel	4	3	alles nur ein traum	generiert
7	7	05.12.2023	1	stroh	7	0	alles nur ein traum	generiert
8	8	05.12.2023	1	sand	4	3	alles nur ein traum	generiert
9	9	05.12.2023	2	dinkel	9	2	alles nur ein traum	generiert
10	10	05.12.2023	2	stroh	10	1	alles nur ein traum	generiert
11	11	05.12.2023	2	sand	5	6	alles nur ein traum	generiert
12	12	06.12.2023	1	dinkel	8	0	alles nur ein traum	generiert
13	13	06.12.2023	1	stroh	7	1	alles nur ein traum	generiert
14	14	06.12.2023	1	sand	5	3	alles nur ein traum	generiert
15	15	06.12.2023	2	dinkel	11	1	alles nur ein traum	generiert
16	16	06.12.2023	2	stroh	12	0	alles nur ein traum	generiert
17	17	06.12.2023	2	sand	6	6	alles nur ein traum	generiert
18	18	07.12.2023	1	dinkel	7	3	alles nur ein traum	generiert
19	19	07.12.2023	1	stroh	9	1	alles nur ein traum	generiert
20	20	07.12.2023	1	sand	4	6	alles nur ein traum	generiert
21	21	07.12.2023	2	dinkel	7	5	alles nur ein traum	generiert
22	22	07.12.2023	2	stroh	12	0	alles nur ein traum	generiert
23	23	07.12.2023	2	sand	4	8	alles nur ein traum	generiert
24	24	08.12.2023	1	dinkel	7	1	alles nur ein traum	generiert
25	25	08.12.2023	1	stroh	7	1	alles nur ein traum	generiert
26	26	08.12.2023	1	sand	5	3	alles nur ein traum	generiert
27	27	08.12.2023	2	dinkel	9	0	alles nur ein traum	generiert
28	28	08.12.2023	2	stroh	7	2	alles nur ein traum	generiert
29	29	08.12.2023	2	sand	6	3	alles nur ein traum	generiert
30	30	09.12.2023	1	dinkel	6	3	alles nur ein traum	generiert
31	31	09.12.2023	1	stroh	8	1	alles nur ein traum	generiert
32	32	09.12.2023	1	sand	5	4	alles nur ein traum	generiert
33	33	09.12.2023	2	dinkel	10	3	alles nur ein traum	generiert
34	34	09.12.2023	2	stroh	10	3	alles nur ein traum	generiert
35	35	09.12.2023	2	sand	8	5	alles nur ein traum	generiert
36	36	10.12.2023	1	dinkel	9	0	alles nur ein traum	generiert
37	37	10.12.2023	1	stroh	8	1	alles nur ein traum	generiert
38	38	10.12.2023	1	sand	5	4	alles nur ein traum	generiert
39	39	10.12.2023	2	dinkel	5	6	alles nur ein traum	generiert
40	40	10.12.2023	2	stroh	10	1	alles nur ein traum	generiert
41	41	10.12.2023	2	sand	6	5	alles nur ein traum	generiert
42	42	11.12.2023	1	dinkel	4	4	alles nur ein traum	generiert
43	43	11.12.2023	1	stroh	8	0	alles nur ein traum	generiert
44	44	11.12.2023	1	sand	7	1	alles nur ein traum	generiert
